epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,4079.01,1.30584,0.57765,1.01855,0.90872,0.84662,0.89419,0.55701,1.30228,inf,1.01509,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4149.5,1.30419,0.57636,1.01763,0.90744,0.84573,0.89437,0.5572,1.30123,inf,1.01375,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4222.24,1.30444,0.57582,1.01663,0.90792,0.8453,0.89396,0.55738,1.30086,inf,1.0142,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4294.49,1.30252,0.5737,1.01578,0.90948,0.84623,0.89439,0.55704,1.3017,inf,1.01358,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4367.31,1.30308,0.57347,1.01516,0.90868,0.84799,0.89513,0.55724,1.30119,inf,1.01375,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4439.52,1.30036,0.57256,1.01532,0.90914,0.84896,0.89558,0.55899,1.29999,inf,1.01319,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4511.05,1.30215,0.57207,1.01749,0.91059,0.84832,0.89573,0.55898,1.29992,inf,1.01348,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4581.75,1.30003,0.57046,1.01477,0.9109,0.84743,0.89481,0.558,1.30036,inf,1.01313,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4652.51,1.2982,0.56916,1.01433,0.90894,0.84855,0.89529,0.55877,1.30028,inf,1.0129,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4725.2,1.29746,0.56859,1.01276,0.91017,0.8481,0.89575,0.55865,1.30057,inf,1.01272,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
